Epoch 1, Gen Loss: -307.1589, Disc Loss: -2.0554
Epoch 2, Gen Loss: -339.4827, Disc Loss: -0.0669
Epoch 3, Gen Loss: -343.7857, Disc Loss: -0.0037
Epoch 4, Gen Loss: -345.0070, Disc Loss: 0.0030
Epoch 5, Gen Loss: -340.0226, Disc Loss: 0.0041
Epoch 6, Gen Loss: -1535.3765, Disc Loss: -40.8825
Epoch 7, Gen Loss: -8616.8779, Disc Loss: 3.5881
Epoch 8, Gen Loss: -8921.5498, Disc Loss: -3.3908
Epoch 9, Gen Loss: -9119.5166, Disc Loss: -4.7038
Epoch 10, Gen Loss: -6987.5425, Disc Loss: -3.1737
Epoch 11, Gen Loss: -6378.9922, Disc Loss: 0.0108
Epoch 12, Gen Loss: -6013.2373, Disc Loss: -0.1526
Epoch 13, Gen Loss: -5542.7935, Disc Loss: -0.2182
Epoch 14, Gen Loss: -5401.1001, Disc Loss: -0.4278
Epoch 15, Gen Loss: -4810.3169, Disc Loss: -0.3269
Epoch 16, Gen Loss: -4438.3301, Disc Loss: -0.0513
Epoch 17, Gen Loss: -4082.8096, Disc Loss: -0.0164
Epoch 18, Gen Loss: -3293.2993, Disc Loss: 0.0022
Epoch 19, Gen Loss: -2316.1938, Disc Loss: -0.0023
Epoch 20, Gen Loss: -2593.2725, Disc Loss: -0.0070
Epoch 21, Gen Loss: -1810.0034, Disc Loss: 0.1682
Epoch 22, Gen Loss: 187.0159, Disc Loss: 0.0006
Epoch 23, Gen Loss: -414.5171, Disc Loss: -0.0044
Epoch 24, Gen Loss: -1106.1758, Disc Loss: -0.0043
Epoch 25, Gen Loss: -1446.3479, Disc Loss: -0.0041
Epoch 26, Gen Loss: -1401.5042, Disc Loss: 0.0006
Epoch 27, Gen Loss: -1411.9852, Disc Loss: -0.0046
Epoch 28, Gen Loss: -1405.9923, Disc Loss: -0.0043
Epoch 29, Gen Loss: -1166.6899, Disc Loss: -0.0027
Epoch 30, Gen Loss: -1268.3375, Disc Loss: -0.0053
Epoch 31, Gen Loss: -1437.7382, Disc Loss: -0.0069
Epoch 32, Gen Loss: -1389.7970, Disc Loss: -0.0074
Epoch 33, Gen Loss: -1351.4750, Disc Loss: -0.0061
Epoch 34, Gen Loss: -1087.2087, Disc Loss: -0.0080
Epoch 35, Gen Loss: -1277.0144, Disc Loss: -0.0078
Epoch 36, Gen Loss: -1086.2567, Disc Loss: -0.0068
Epoch 37, Gen Loss: -1023.8779, Disc Loss: -0.0060
Epoch 38, Gen Loss: -1262.8108, Disc Loss: -0.0111
Epoch 39, Gen Loss: -1267.6682, Disc Loss: -0.0102
Epoch 40, Gen Loss: -1254.8792, Disc Loss: -0.0087
Epoch 41, Gen Loss: -1182.8505, Disc Loss: -0.0070
Epoch 42, Gen Loss: -1399.5475, Disc Loss: -0.0107
Epoch 43, Gen Loss: -1521.7273, Disc Loss: -0.0110
Epoch 44, Gen Loss: -1575.3253, Disc Loss: -0.0123
Epoch 45, Gen Loss: -1472.2275, Disc Loss: -0.0099
Epoch 46, Gen Loss: -1273.8016, Disc Loss: -0.0122
Epoch 47, Gen Loss: -1171.1919, Disc Loss: -0.0111
Epoch 48, Gen Loss: -1195.9467, Disc Loss: -0.0104
Epoch 49, Gen Loss: -1340.9580, Disc Loss: -0.0160
Epoch 50, Gen Loss: -1206.6064, Disc Loss: -0.0103
Epoch 51, Gen Loss: -1286.9525, Disc Loss: -0.0151
Epoch 52, Gen Loss: -1128.5933, Disc Loss: -0.0090
Epoch 53, Gen Loss: -1161.0717, Disc Loss: -0.0095
Epoch 54, Gen Loss: -1239.6810, Disc Loss: -0.0119
Epoch 55, Gen Loss: -1312.2852, Disc Loss: -0.0121
Epoch 56, Gen Loss: -1340.8538, Disc Loss: -0.0130
Epoch 57, Gen Loss: -1225.5596, Disc Loss: -0.0130
Epoch 58, Gen Loss: -1317.6240, Disc Loss: -0.0126
Epoch 59, Gen Loss: -1493.5343, Disc Loss: -0.0174
Epoch 60, Gen Loss: -1436.9519, Disc Loss: -0.0173
